Benchmark#,Description,Idea/Standard,Subject,Grade,Body Of Knowledge/ Strand
ELA.9.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",Finding Meaning,English Language Arts (B.E.S.T.),9,Vocabulary
ELA.10.C.1.2,"Write narratives using an appropriate pace to create tension, mood, and/or tone.",Communicating Through Writing,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.1.3,"Write to argue a position, supporting claims using logical reasoning and credible evidence from multiple sources, rebutting counterclaims with relevant evidence, using a logical organizational structure, elaboration, purposeful transitions, and maintaining a formal and objective tone.",Communicating Through Writing,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.1.4,"Write expository texts to explain and analyze information from multiple sources, using a logical organization, purposeful transitions, and a tone and voice appropriate to the task.",Communicating Through Writing,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.1.5,"Improve writing by considering feedback from adults, peers, and/or online editing tools, revising to address the needs of a specific audience.",Communicating Through Writing,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.2.1,"Present information orally, with a logical organization and coherent focus, with credible evidence, creating a clear perspective.",Communicating Orally,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",Following Conventions,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.4.1,"Conduct research to answer a question, refining the scope of the question to align with findings, and synthesizing information from multiple reliable and valid sources.",Researching,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.5.1,"Create digital presentations to improve understanding of findings, reasoning, and evidence.",Creating and Collaborating,English Language Arts (B.E.S.T.),10,Communication
ELA.10.C.5.2,"Use online collaborative platforms to create and export publication-ready quality writing tailored to a specific audience, integrating multimedia elements.",Creating and Collaborating,English Language Arts (B.E.S.T.),10,Communication
ELA.10.R.1.1,Analyze how key elements enhance or add layers of meaning and/or style in a literary text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.1.2,Analyze and compare universal themes and their development throughout a literary text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.1.3,Analyze coming of age experiences reflected in a text and how the author represents conflicting perspectives.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.1.4,Analyze how authors create multiple layers of meaning and/or ambiguity in a poem.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.2.1,Analyze the impact of multiple text structures and the use of features in text(s).,Reading Informational Text,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.2.2,Analyze the central idea(s) of historical American speeches and essays.,Reading Informational Text,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.2.3,Analyze an author’s choices in establishing and achieving purpose(s) in historical American speeches and essays.,Reading Informational Text,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.2.4,"Compare the development of two opposing arguments on the same topic, evaluating the effectiveness and validity of the claims, and analyzing the ways in which the authors use the same information to achieve different ends.",Reading Informational Text,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.3.1,Analyze how figurative language creates mood in text(s).,Reading Across Genres,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.3.2,Paraphrase content from grade-level texts.,Reading Across Genres,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.3.3,"Analyze how mythical, classical, or religious texts have been adapted.",Reading Across Genres,English Language Arts (B.E.S.T.),10,Reading
ELA.10.R.3.4,Analyze an author’s use of rhetoric in a text.,Reading Across Genres,English Language Arts (B.E.S.T.),10,Reading
ELA.10.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing.,Finding Meaning,English Language Arts (B.E.S.T.),10,Vocabulary
ELA.10.V.1.2,Apply knowledge of etymology and derivations to determine meanings of words and phrases in grade-level content.,Finding Meaning,English Language Arts (B.E.S.T.),10,Vocabulary
ELA.10.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",Finding Meaning,English Language Arts (B.E.S.T.),10,Vocabulary
ELA.11.C.1.2,Write complex narratives using appropriate techniques to establish multiple perspectives.,Communicating Through Writing,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.1.3,"Write literary analyses to support claims, using logical reasoning, credible evidence from sources, and elaboration, demonstrating an understanding of literary elements.",Communicating Through Writing,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.1.4,"Write an analysis of complex texts using logical organization and a tone and voice appropriate to the task and audience, demonstrating an understanding of the subject.",Communicating Through Writing,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.1.5,"Improve writing by considering feedback from adults, peers, and/or online editing tools, revising to improve clarity, structure, and style.",Communicating Through Writing,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.2.1,"Present information orally, with a logical organization, coherent focus, and credible evidence, while employing effective rhetorical devices where appropriate.",Communicating Orally,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",Following Conventions,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.4.1,"Conduct literary research to answer a question, refining the scope of the question to align with interpretations of texts, and synthesizing information from primary and secondary sources.",Researching,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.5.1,Create digital presentations to improve the experience of the audience.,Creating and Collaborating,English Language Arts (B.E.S.T.),11,Communication
ELA.11.C.5.2,"Create and export quality writing tailored to a specific audience, integrating multimedia elements, publishing to an online or LAN site.",Creating and Collaborating,English Language Arts (B.E.S.T.),11,Communication
ELA.11.R.1.1,Evaluate how key elements enhance or add layers of meaning and/or style in a literary text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.1.2,Track and analyze universal themes in literary texts from different times and places.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.1.3,Analyze the author’s choices in using juxtaposition to define character perspective.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.1.4,Analyze ways in which poetry reflects themes and issues of its time period.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.2.1,Evaluate the structure(s) and features in texts.,Reading Informational Text,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.2.2,Analyze the central idea(s) of speeches and essays from the Classical Period.,Reading Informational Text,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.2.3,Analyze an author’s choices in establishing and achieving purpose(s) in speeches and essays from the Classical Period.,Reading Informational Text,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.2.4,"Compare the development of multiple arguments on the same topic, evaluating the effectiveness and validity of the claims, the authors’ reasoning, and the ways in which the authors use the same information to achieve different ends.",Reading Informational Text,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.3.1,Analyze the author’s use of figurative language and explain examples of allegory.,Reading Across Genres,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.3.2,Paraphrase content from grade-level texts.,Reading Across Genres,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.3.3,"Compare and contrast how contemporaneous authors address related topics, comparing the authors’ use of reasoning, and analyzing the texts within the context of the time period.",Reading Across Genres,English Language Arts (B.E.S.T.),11,Reading
ELA.11.R.3.4,Evaluate an author’s use of rhetoric in text.,Reading Across Genres,English Language Arts (B.E.S.T.),11,Reading
ELA.11.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing.,Finding Meaning,English Language Arts (B.E.S.T.),11,Vocabulary
ELA.11.V.1.2,Apply knowledge of etymology and derivations to determine meanings of words and phrases in grade-level content.,Finding Meaning,English Language Arts (B.E.S.T.),11,Vocabulary
ELA.11.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",Finding Meaning,English Language Arts (B.E.S.T.),11,Vocabulary
ELA.12.C.1.2,Write complex narratives using appropriate techniques to establish multiple perspectives and convey universal themes.,Communicating Through Writing,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.1.3,"Write arguments to support claims based on an in-depth analysis of topics or texts using valid reasoning and credible evidence from sources, elaboration, and demonstrating a thorough understanding of the subject.",Communicating Through Writing,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.1.4,"Write an in-depth analysis of complex texts using logical organization and appropriate tone and voice, demonstrating a thorough understanding of the subject.",Communicating Through Writing,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.1.5,"Improve writing by considering feedback from adults, peers, and/or online editing tools, revising to enhance purpose, clarity, structure, and style.",Communicating Through Writing,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.2.1,"Present information orally, with a logical organization, coherent focus, and credible evidence while employing effective rhetorical devices where appropriate.",Communicating Orally,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",Following Conventions,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.4.1,Conduct research on a topical issue to answer a question and synthesize information from a variety of sources.,Researching,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.5.1,Design and evaluate digital presentations for effectiveness.,Creating and Collaborating,English Language Arts (B.E.S.T.),12,Communication
ELA.12.C.5.2,"Create, publish, and share multimedia texts through a variety of digital formats.",Creating and Collaborating,English Language Arts (B.E.S.T.),12,Communication
ELA.12.R.1.1,Evaluate how key elements enhance or add layers of meaning and/or style in a literary text and explain the functional significance of those elements in interpreting the text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.1.2,Analyze two or more themes and evaluate their development throughout a literary text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.1.3,"Evaluate the development of character perspective, including conflicting perspectives.",Reading Prose and Poetry,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.1.4,Evaluate works of major poets in their historical context.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.2.1,"Evaluate the structure(s) and features in texts, identifying how the author could make the text(s) more effective.",Reading Informational Text,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.2.2,"Evaluate how an author develops the central idea(s), identifying how the author could make the support more effective.",Reading Informational Text,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.2.3,Evaluate an author’s choices in establishing and achieving purpose(s).,Reading Informational Text,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.2.4,"Compare the development of multiple arguments in related texts, evaluating the validity of the claims, the authors’ reasoning, use of the same information, and/or the authors’ rhetoric.",Reading Informational Text,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.3.1,Evaluate an author’s use of figurative language.,Reading Across Genres,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.3.2,Paraphrase content from grade-level texts.,Reading Across Genres,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.3.3,Analyze the influence of classic literature on contemporary world texts.,Reading Across Genres,English Language Arts (B.E.S.T.),12,Reading
ELA.12.R.3.4,Evaluate rhetorical choices across multiple texts.,Reading Across Genres,English Language Arts (B.E.S.T.),12,Reading
ELA.12.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing.,Finding Meaning,English Language Arts (B.E.S.T.),12,Vocabulary
ELA.12.V.1.2,"Apply knowledge of etymology, derivations, and commonly used foreign phrases to determine meanings of words and phrases in grade-level content.",Finding Meaning,English Language Arts (B.E.S.T.),12,Vocabulary
ELA.12.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",Finding Meaning,English Language Arts (B.E.S.T.),12,Vocabulary
MA.K12.MTR.1.1,Actively participate in effortful learning both individually and collectively.  ,Actively participate in effortful learning both individually and collectively.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who participate in effortful learning both individually and with others: ,,,,
,Analyze the problem in a way that makes sense given the task. ,,,,
,Ask questions that will help with solving the task. ,,,,
,Build perseverance by modifying methods as needed while solving a challenging task. ,,,,
,Stay engaged and maintain a positive mindset when working to solve tasks. ,,,,
,Help and support each other when attempting a new method or approach.,,,,
MA.K12.MTR.2.1,Demonstrate understanding by representing problems in multiple ways.  ,Demonstrate understanding by representing problems in multiple ways.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who demonstrate understanding by representing problems in multiple ways:  ,,,,
,Build understanding through modeling and using manipulatives.,,,,
,"Represent solutions to problems in multiple ways using objects, drawings, tables, graphs and equations.",,,,
,Progress from modeling problems with objects and drawings to using algorithms and equations.,,,,
,Express connections between concepts and representations.,,,,
,Choose a representation based on the given context or purpose.,,,,
MA.K12.MTR.3.1,Complete tasks with mathematical fluency. ,Complete tasks with mathematical fluency.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who complete tasks with mathematical fluency:,,,,
,Select efficient and appropriate methods for solving problems within the given context.,,,,
,Maintain flexibility and accuracy while performing procedures and mental calculations.,,,,
,Complete tasks accurately and with confidence.,,,,
,Adapt procedures to apply them to a new context.,,,,
,Use feedback to improve efficiency when performing calculations. ,,,,
MA.K12.MTR.4.1,Engage in discussions that reflect on the mathematical thinking of self and others. ,Engage in discussions that reflect on the mathematical thinking of self and others.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who engage in discussions that reflect on the mathematical thinking of self and others:,,,,
,"Communicate mathematical ideas, vocabulary and methods effectively.",,,,
,Analyze the mathematical thinking of others.,,,,
,Compare the efficiency of a method to those expressed by others.,,,,
,Recognize errors and suggest how to correctly solve the task.,,,,
,Justify results by explaining methods and processes.,,,,
,Construct possible arguments based on evidence. ,,,,
MA.K12.MTR.5.1,Use patterns and structure to help understand and connect mathematical concepts. ,Use patterns and structure to help understand and connect mathematical concepts.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who use patterns and structure to help understand and connect mathematical concepts:,,,,
,Focus on relevant details within a problem.,,,,
,"Create plans and procedures to logically order events, steps or ideas to solve problems.",,,,
,Decompose a complex problem into manageable parts.,,,,
,Relate previously learned concepts to new concepts.,,,,
,Look for similarities among problems.,,,,
,Connect solutions of problems to more complicated large-scale situations. ,,,,
MA.K12.MTR.6.1,Assess the reasonableness of solutions. ,Assess the reasonableness of solutions.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who assess the reasonableness of solutions: ,,,,
,Estimate to discover possible solutions.,,,,
,Use benchmark quantities to determine if a solution makes sense.,,,,
,Check calculations when solving problems.,,,,
,Verify possible solutions by explaining the methods used.,,,,
,Evaluate results based on the given context. ,,,,
MA.K12.MTR.7.1,Apply mathematics to real-world contexts. ,Apply mathematics to real-world contexts.,Mathematics (B.E.S.T.),K12,Mathematical Thinking and Reasoning
,Mathematicians who apply mathematics to real-world contexts:,,,,
,Connect mathematical concepts to everyday experiences.,,,,
,"Use models and methods to understand, represent and solve problems.",,,,
,Perform investigations to gather data or determine if a method is appropriate. • Redesign models and methods to improve accuracy or efficiency. ,,,,
MA.912.AR.1.1,"Identify and interpret parts of an equation or expression that represent a quantity in terms of a mathematical or real-world context, including viewing one or more of its parts as a single entity.",Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.2,Rearrange equations or formulas to isolate a quantity of interest.,Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.3,"Add, subtract and multiply polynomial expressions with rational number coefficients.",Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.4,Divide a polynomial expression by a monomial expression with rational number coefficients.,Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.5,"Divide polynomial expressions using long division, synthetic division or algebraic manipulation.",Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.6,"Solve mathematical and real-world problems involving addition, subtraction, multiplication or division of polynomials.",Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.7,Rewrite a polynomial expression as a product of polynomials over the real number system.,Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.8,Rewrite a polynomial expression as a product of polynomials over the real or complex number system.,Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.9,"Apply previous understanding of rational number operations to add, subtract, multiply and divide rational algebraic expressions.",Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.10,"Solve mathematical and real-world problems involving addition, subtraction, multiplication or division of rational algebraic expressions.",Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.1.11,Apply the Binomial Theorem to create equivalent polynomial expressions.,Interpret and rewrite algebraic expressions and equations in equivalent forms.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.1,"Given a real-world context, write and solve one-variable multi-step linear equations.","Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.2,"Write a linear two-variable equation to represent the relationship between two quantities from a graph, a written description or a table of values within a mathematical or real-world context.","Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.3,Write a linear two-variable equation for a line that is parallel or perpendicular to a given line and goes through a given point.,"Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.4,"Given a table, equation or written description of a linear function, graph that function, and determine and interpret its key features.","Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.5,Solve and graph mathematical and real-world problems that are modeled with linear functions. Interpret key features and determine constraints in terms of the context.,"Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.6,"Given a mathematical or real-world context, write and solve one-variable linear inequalities, including compound inequalities. Represent solutions algebraically or graphically.","Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.7,Write two-variable linear inequalities to represent relationships between quantities from a graph or a written description within a mathematical or real-world context.,"Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.2.8,"Given a mathematical or real-world context, graph the solution set to a two-variable linear inequality.","Write, solve and graph linear equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.1,"Given a mathematical or real-world context, write and solve one-variable quadratic equations over the real number system.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.2,"Given a mathematical or real-world context, write and solve one-variable quadratic equations over the real and complex number systems.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.3,"Given a mathematical or real-world context, write and solve one-variable quadratic inequalities over the real number system. Represent solutions algebraically or graphically.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.4,"Write a quadratic function to represent the relationship between two quantities from a graph, a written description or a table of values within a mathematical or real-world context.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.5,"Given the x-intercepts and another point on the graph of a quadratic function, write the equation for the function.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.6,"Given an expression or equation representing a quadratic function, determine the vertex and zeros and interpret them in terms of a real-world context.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.7,"Given a table, equation or written description of a quadratic function, graph that function, and determine and interpret its key features.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.8,Solve and graph mathematical and real-world problems that are modeled with quadratic functions. Interpret key features and determine constraints in terms of the context.,"Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.9,"Given a mathematical or real-world context, write two-variable quadratic inequalities to represent relationships between quantities from a graph or a written description.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.3.10,"Given a mathematical or real-world context, graph the solution set to a two-variable quadratic inequality.","Write, solve and graph quadratic equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.4.1,"Given a mathematical or real-world context, write and solve one-variable absolute value equations.","Write, solve and graph absolute value equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.4.2,"Given a mathematical or real-world context, write and solve one-variable absolute value inequalities. Represent solutions algebraically or graphically.","Write, solve and graph absolute value equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.4.3,"Given a table, equation or written description of an absolute value function, graph that function and determine its key features.","Write, solve and graph absolute value equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.4.4,Solve and graph mathematical and real-world problems that are modeled with absolute value functions. Interpret key features and determine constraints in terms of the context.,"Write, solve and graph absolute value equations, functions and inequalities in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.1,Solve one-variable exponential equations using the properties of exponents.,"Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.2,Solve one-variable equations involving logarithms or exponential expressions. Interpret solutions as viable in terms of the context and identify any extraneous solutions.,"Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.3,"Given a mathematical or real-world context, classify an exponential function as representing growth or decay.","Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.4,"Write an exponential function to represent a relationship between two quantities from a graph, a written description or a table of values within a mathematical or real-world context.","Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.5,"Given an expression or equation representing an exponential function, reveal the constant percent rate of change per unit interval using the properties of exponents. Interpret the constant percent rate of change in terms of a real-world context.","Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.6,"Given a table, equation or written description of an exponential function, graph that function and determine its key features.","Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.7,Solve and graph mathematical and real-world problems that are modeled with exponential functions. Interpret key features and determine constraints in terms of the context.,"Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.5.8,"Given a table, equation or written description of a logarithmic function, graph that function and determine its key features.","Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
